Date,Open,High,Low,Close,Adj Close,Volume
2021-03-15,58309.914063,58767.898438,56005.617188,57523.421875,57523.421875,51943414539
2021-03-22,57517.890625,58471.480469,50856.570313,55950.746094,55950.746094,403128836645
2021-03-29,55947.898438,60267.187500,55139.339844,58758.554688,58758.554688,408348561550
2021-04-05,58760.875000,61276.664063,55604.023438,60204.964844,60204.964844,406637390979
2021-04-12,60175.945313,64863.097656,52829.535156,56216.183594,56216.183594,508118943571
2021-04-19,56191.585938,57520.054688,47159.484375,49004.253906,49004.253906,444719708699
2021-04-26,49077.792969,58448.339844,48852.796875,56631.078125,56631.078125,335231529997
2021-05-03,56620.273438,59464.613281,52969.054688,58232.316406,58232.316406,458766142208
2021-05-10,58250.871094,59519.355469,43963.351563,46456.058594,46456.058594,483967915938
2021-05-17,46415.898438,46623.558594,30681.496094,34770.582031,34770.582031,563629210102
2021-05-24,34700.363281,40782.078125,33520.738281,35678.128906,35678.128906,350206489990
2021-05-31,35658.593750,39478.953125,34241.945313,35862.378906,35862.378906,248884892724
2021-06-07,35835.265625,39322.781250,31114.443359,39097.859375,39097.859375,298428017340
2021-06-14,39016.968750,41295.269531,33432.074219,35698.296875,35698.296875,269949570053
2021-06-21,35641.144531,35721.640625,28893.621094,34649.644531,34649.644531,305541799334
2021-06-28,34679.121094,36542.109375,32770.679688,35287.781250,35287.781250,231729218470
2021-07-05,35284.343750,35284.343750,32133.183594,34240.187500,34240.187500,178445862441
2021-07-12,34254.015625,34592.156250,31100.673828,31796.810547,31796.810547,147501894180
2021-07-19,31800.011719,35364.925781,29360.955078,35350.187500,35350.187500,156414750211
2021-07-26,35384.031250,42541.679688,35287.312500,39974.894531,39974.894531,237553113912
2021-08-02,39907.261719,45282.351563,37458.003906,43798.117188,43798.117188,226902699564
2021-08-09,43791.925781,48098.683594,42848.687500,47047.003906,47047.003906,234268000892
2021-08-16,47019.960938,49717.019531,43998.316406,49321.652344,49321.652344,236289722726
2021-08-23,49291.675781,50482.078125,46394.281250,48829.832031,48829.832031,223947952688
2021-08-30,48834.851563,51868.679688,46562.437500,51753.410156,51753.410156,256225023619
2021-09-06,51769.003906,52853.765625,43285.207031,46063.269531,46063.269531,293311066613
2021-09-13,46057.214844,48791.781250,43591.320313,47260.218750,47260.218750,226141953163
2021-09-20,47261.406250,47328.199219,39787.609375,43208.539063,43208.539063,270099994433
2021-09-27,43234.183594,49130.691406,40829.667969,48199.953125,48199.953125,223042115392
2021-10-04,48208.906250,56401.304688,47045.003906,54771.578125,54771.578125,261919545521
2021-10-11,54734.125000,62757.128906,54370.972656,61553.617188,61553.617188,277084548345
2021-10-18,61548.804688,66930.390625,59643.343750,60930.835938,60930.835938,257856648064
2021-10-25,60893.925781,63729.324219,58206.917969,61318.957031,61318.957031,256114057651
2021-11-01,61320.449219,64242.792969,59695.183594,63326.988281,63326.988281,227064607869
2021-11-08,63344.066406,68789.625000,62333.914063,65466.839844,65466.839844,259776276520
2021-11-15,65521.289063,66281.570313,55705.179688,58730.476563,58730.476563,253419951009
2021-11-22,58706.847656,59367.968750,53569.765625,57248.457031,57248.457031,243930001011
2021-11-29,57291.906250,59113.402344,42874.617188,49368.847656,49368.847656,276690611812
2021-12-06,49413.480469,51934.781250,46942.347656,50098.335938,50098.335938,208148497532
2021-12-13,50114.742188,50205.000000,45598.441406,46707.015625,46707.015625,214770398202
2021-12-20,46707.062500,51814.027344,45579.808594,50809.515625,50809.515625,175052499792
2021-12-27,50802.609375,51956.328125,45819.953125,47345.218750,47345.218750,203998848909
2022-01-03,47343.542969,47510.726563,40672.277344,41911.601563,41911.601563,276182787152
2022-01-10,41910.230469,44278.421875,39796.570313,43113.878906,43113.878906,199473804544
2022-01-17,43118.121094,43413.023438,34349.250000,36276.804688,36276.804688,196326044073
2022-01-24,36275.734375,38825.410156,33184.058594,37917.601563,37917.601563,178727434896
2022-01-31,37920.281250,42500.785156,36375.539063,42412.433594,42412.433594,143977109319
2022-02-07,42406.781250,45661.171875,41748.156250,42197.515625,42197.515625,176958095731
2022-02-14,42157.398438,44667.218750,38112.812500,38431.378906,38431.378906,144975794552
2022-02-21,38423.210938,40005.347656,34459.218750,37709.785156,37709.785156,190469710084
2022-02-28,37706.000000,45077.578125,37518.214844,38419.984375,38419.984375,187557375751
2022-03-07,38429.304688,42465.671875,37260.203125,37849.664063,37849.664063,175966999156
2022-03-14,37846.316406,42316.554688,37680.734375,42190.652344,42190.652344,163969095352
2022-03-21,41259.656250,41371.285156,41227.417969,41276.394531,41276.394531,19893497856
